NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,Team
13,Ryan Rollins,PG,6-4,180.0,2002-07-03,US US,2,Toledo,MILWAUKEE BUCKS
9,Bobby Portis,PF,6-10,250.0,1995-02-10,US US,9,Arkansas,MILWAUKEE BUCKS
24,Pat Connaughton,SG,6-5,209.0,1993-01-06,US US,9,Notre Dame,MILWAUKEE BUCKS
18,Kyle Kuzma,PF,6-9,221.0,1995-07-24,US US,7,Utah,MILWAUKEE BUCKS
3,Kevin Porter Jr.,SG,6-4,203.0,2000-05-04,US US,4,USC,MILWAUKEE BUCKS
21,Tyler Smith,PF,6-11,224.0,2004-11-02,US US,R,,MILWAUKEE BUCKS
17,Stanley Umude (TW),SG,6-6,210.0,1999-04-12,US US,2,"South Dakota, Arkansas",MILWAUKEE BUCKS
7,Chris Livingston,SF,6-6,220.0,2003-10-15,US US,1,Kentucky,MILWAUKEE BUCKS
0,Jericho Sims,C,6-10,245.0,1998-10-20,US US,3,Texas,MILWAUKEE BUCKS
35,Pete Nance (TW),PF,6-11,230.0,2000-02-19,US US,1,"Northwestern, UNC",MILWAUKEE BUCKS
15,Jamaree Bouyea (TW),PG,6-2,180.0,1999-06-27,US US,2,San Francisco,MILWAUKEE BUCKS
3,Jaden McDaniels,PF,6-9,185.0,2000-09-29,US US,4,Washington,MINNESOTA TIMBERWOLVES
9,Nickeil Alexander-Walker,SG,6-5,205.0,1998-09-02,CA CA,5,Virginia Tech,MINNESOTA TIMBERWOLVES
11,Naz Reid,C,6-9,264.0,1999-08-26,US US,5,LSU,MINNESOTA TIMBERWOLVES
5,Anthony Edwards,SG,6-4,225.0,2001-08-05,US US,4,Georgia,MINNESOTA TIMBERWOLVES
27,Rudy Gobert,C,7-1,258.0,1992-06-26,FR FR,11,,MINNESOTA TIMBERWOLVES
10,Mike Conley,PG,6-0,175.0,1987-10-11,US US,17,Ohio State,MINNESOTA TIMBERWOLVES
30,Julius Randle,PF,6-9,250.0,1994-11-29,US US,10,Kentucky,MINNESOTA TIMBERWOLVES
0,Donte DiVincenzo,SG,6-4,203.0,1997-01-31,US US,6,Villanova,MINNESOTA TIMBERWOLVES
4,Rob Dillingham,PG,6-1,176.0,2005-01-04,US US,R,Kentucky,MINNESOTA TIMBERWOLVES
8,Josh Minott,SF,6-8,205.0,2002-11-25,US US,2,Memphis,MINNESOTA TIMBERWOLVES
22,Jaylen Clark,SG,6-5,205.0,2001-10-13,US US,R,UCLA,MINNESOTA TIMBERWOLVES
55,Luka Garza,C,6-10,235.0,1998-12-27,US US,3,Iowa,MINNESOTA TIMBERWOLVES
0,Terrence Shannon Jr.,SG,6-6,215.0,2000-07-30,US US,R,"Texas Tech, Illinois",MINNESOTA TIMBERWOLVES
7,Joe Ingles,SF,6-8,220.0,1987-10-02,AU AU,10,,MINNESOTA TIMBERWOLVES
33,Leonard Miller,SF,6-10,210.0,2003-11-26,CA CA,1,,MINNESOTA TIMBERWOLVES
77,Bones Hyland (TW),PG,6-2,173.0,2000-09-14,US US,3,VCU,MINNESOTA TIMBERWOLVES
13,Tristen Newton (TW),SG,6-5,190.0,2001-04-26,US US,R,"East Carolina University, UConn",MINNESOTA TIMBERWOLVES
14,Jesse Edwards (TW),C,6-11,230.0,2000-03-18,NL NL,R,"West Virginia, Syracuse",MINNESOTA TIMBERWOLVES
21,Yves Missi,C,6-11,235.0,2004-05-14,BE BE,R,Baylor,NEW ORLEANS PELICANS
50,Jeremiah Robinson-Earl,PF,6-9,230.0,2000-11-03,US US,3,Villanova,NEW ORLEANS PELICANS
3,CJ McCollum,PG,6-3,190.0,1991-09-19,US US,11,Lehigh,NEW ORLEANS PELICANS
24,Jordan Hawkins,SG,6-5,195.0,2002-04-29,US US,1,UConn,NEW ORLEANS PELICANS
15,Jose Alvarado,PG,6-0,179.0,1998-04-12,US US,3,Georgia Tech,NEW ORLEANS PELICANS
25,Trey Murphy III,SF,6-8,206.0,2000-06-18,US US,3,"Rice University, Virginia",NEW ORLEANS PELICANS
12,Antonio Reeves,SG,6-5,205.0,2000-11-20,US US,R,"Illinois State, Kentucky",NEW ORLEANS PELICANS
11,Brandon Boston Jr.,SG,6-7,185.0,2001-11-28,US US,3,Kentucky,NEW ORLEANS PELICANS
17,Karlo Matković,PF,6-11,231.0,2001-03-30,BA BA,R,,NEW ORLEANS PELICANS
8,Jamal Cain (TW),SF,6-7,191.0,1999-03-20,US US,2,"Marquette, Oakland",NEW ORLEANS PELICANS
5,Dejounte Murray,PG,6-5,180.0,1996-09-19,US US,7,Washington,NEW ORLEANS PELICANS
1,Zion Williamson,PF,6-6,284.0,2000-07-06,US US,4,Duke,NEW ORLEANS PELICANS
00,Bruce Brown,PG,6-4,202.0,1996-08-15,US US,6,Miami (FL),NEW ORLEANS PELICANS
13,Kelly Olynyk,C,6-11,240.0,1991-04-19,CA CA,11,Gonzaga,NEW ORLEANS PELICANS
2,Herbert Jones,SF,6-8,210.0,1998-10-06,US US,3,Alabama,NEW ORLEANS PELICANS
"4, 22",Elfrid Payton,PG,6-3,195.0,1994-02-22,US US,8,Louisiana,NEW ORLEANS PELICANS
0,Keion Brooks Jr. (TW),SF,6-7,210.0,2000-08-07,US US,R,"Kentucky, Washington",NEW ORLEANS PELICANS
22,Lester Quiñones (TW),SG,6-5,208.0,2000-11-16,US US,2,Memphis,NEW ORLEANS PELICANS
35,Kylor Kelley,C,7-0,215.0,1997-08-26,US US,R,Oregon State,NEW ORLEANS PELICANS
25,Mikal Bridges,SF,6-6,209.0,1996-08-30,US US,6,Villanova,NEW YORK KNICKS
3,Josh Hart,SG,6-4,215.0,1995-03-06,US US,7,Villanova,NEW YORK KNICKS
8,OG Anunoby,PF,6-7,232.0,1997-07-17,GB GB,7,Indiana,NEW YORK KNICKS
32,Karl-Anthony Towns,C,7-0,248.0,1995-11-15,US US,9,Kentucky,NEW YORK KNICKS
1,Cameron Payne,PG,6-3,183.0,1994-08-08,US US,9,Murray State,NEW YORK KNICKS
11,Jalen Brunson,PG,6-2,190.0,1996-08-31,US US,6,Villanova,NEW YORK KNICKS
2,Miles McBride,PG,6-2,200.0,2000-09-08,US US,3,West Virginia,NEW YORK KNICKS
5,Precious Achiuwa,C,6-8,225.0,1999-09-19,NG NG,4,Memphis,NEW YORK KNICKS
44,Landry Shamet,SG,6-4,190.0,1997-03-13,US US,6,Wichita State,NEW YORK KNICKS
13,Tyler Kolek,PG,6-1,195.0,2001-03-27,US US,R,"George Mason, Marquette",NEW YORK KNICKS
55,Ariel Hukporti,C,7-0,246.0,2002-04-11,DE DE,R,,NEW YORK KNICKS
4,Pacome Dadiet,SG,6-7,210.0,2005-07-27,FR FR,R,,NEW YORK KNICKS
23,Mitchell Robinson,C,7-0,240.0,1998-04-01,US US,6,Western Kentucky,NEW YORK KNICKS
0,Delon Wright,PG,6-5,185.0,1992-04-26,US US,9,Utah,NEW YORK KNICKS
21,Anton Watson (TW),SF,6-8,225.0,2000-10-06,US US,R,Gonzaga,NEW YORK KNICKS
14,MarJon Beauchamp (TW),SF,6-6,199.0,2000-10-12,US US,2,Yakima Valley Community College,NEW YORK KNICKS
9,Kevin McCullar Jr. (TW),SF,6-6,210.0,2001-03-15,US US,R,"Texas Tech, Kansas",NEW YORK KNICKS
17,P.J. Tucker,SF,6-5,245.0,1985-05-05,US US,13,Texas,NEW YORK KNICKS
2.0,Shai Gilgeous-Alexander,PG,6-6,200.0,1998-07-12,CA CA,6,Kentucky,OKLAHOMA CITY THUNDER
21.0,Aaron Wiggins,SG,6-6,200.0,1999-01-02,US US,3,Maryland,OKLAHOMA CITY THUNDER
11.0,Isaiah Joe,SG,6-5,181.0,1999-07-02,US US,4,Arkansas,OKLAHOMA CITY THUNDER
5.0,Luguentz Dort,SF,6-4,220.0,1999-04-19,CA CA,5,Arizona State,OKLAHOMA CITY THUNDER
8.0,Jalen Williams,SG,6-6,220.0,2001-04-14,US US,2,Santa Clara,OKLAHOMA CITY THUNDER
34.0,Kenrich Williams,PF,6-7,210.0,1994-12-02,US US,6,TCU,OKLAHOMA CITY THUNDER
22.0,Cason Wallace,SG,6-4,205.0,2003-11-07,US US,1,Kentucky,OKLAHOMA CITY THUNDER
55.0,Isaiah Hartenstein,C,7-0,255.0,1998-05-05,US US,6,,OKLAHOMA CITY THUNDER
9.0,Alex Caruso,SG,6-5,186.0,1994-02-28,US US,7,Texas A&M,OKLAHOMA CITY THUNDER
3.0,Dillon Jones,SF,6-5,240.0,2001-10-29,US US,R,Weber State,OKLAHOMA CITY THUNDER
6.0,Jaylin Williams,PF,6-8,250.0,2002-06-29,US US,2,Arkansas,OKLAHOMA CITY THUNDER
13.0,Ousmane Dieng,C,6-10,222.0,2003-05-21,FR FR,2,,OKLAHOMA CITY THUNDER
14.0,Adam Flagler (TW),SG,6-3,195.0,1999-12-01,US US,1,"Presbyterian College, Baylor",OKLAHOMA CITY THUNDER
25.0,Ajay Mitchell,SG,6-5,200.0,2002-06-25,BE BE,R,UC Santa Barbara,OKLAHOMA CITY THUNDER
7.0,Chet Holmgren,C,7-1,213.0,2002-05-01,US US,1,Gonzaga,OKLAHOMA CITY THUNDER
15.0,Branden Carlson (TW),C,7-0,220.0,1999-06-14,US US,R,Utah,OKLAHOMA CITY THUNDER
88.0,Alex Ducas (TW),SG,6-6,222.0,2000-12-11,AU AU,R,Saint Mary's,OKLAHOMA CITY THUNDER
,Nikola Topić,PG,6-6,201.0,2005-08-10,RS RS,R,,OKLAHOMA CITY THUNDER
0.0,Anthony Black,PG,6-7,198.0,2004-01-20,US US,1,Arkansas,ORLANDO MAGIC
3.0,Kentavious Caldwell-Pope,SG,6-5,204.0,1993-02-18,US US,11,Georgia,ORLANDO MAGIC
23.0,Tristan Da Silva,SF,6-8,217.0,2001-05-15,DE DE,R,Colorado,ORLANDO MAGIC
1.0,Jonathan Isaac,PF,6-10,230.0,1997-10-03,US US,5,Florida State,ORLANDO MAGIC
35.0,Goga Bitadze,C,6-11,250.0,1999-07-20,GE GE,5,,ORLANDO MAGIC
34.0,Wendell Carter Jr.,C,6-10,270.0,1999-04-16,US US,6,Duke,ORLANDO MAGIC
50.0,Cole Anthony,PG,6-2,185.0,2000-05-15,US US,4,UNC,ORLANDO MAGIC
22.0,Franz Wagner,SF,6-10,225.0,2001-08-27,DE DE,3,Michigan,ORLANDO MAGIC
13.0,Jett Howard,SF,6-8,215.0,2003-09-14,US US,1,Michigan,ORLANDO MAGIC
2.0,Caleb Houstan,SF,6-8,205.0,2003-01-09,CA CA,2,Michigan,ORLANDO MAGIC
10.0,Cory Joseph,PG,6-2,200.0,1991-08-20,CA CA,13,Texas,ORLANDO MAGIC
14.0,Gary Harris,SG,6-4,210.0,1994-09-14,US US,10,Michigan State,ORLANDO MAGIC
5.0,Paolo Banchero,PF,6-10,250.0,2002-11-12,US US,2,Duke,ORLANDO MAGIC
4.0,Jalen Suggs,PG,6-5,205.0,2001-06-03,US US,3,Gonzaga,ORLANDO MAGIC
12.0,Trevelin Queen (TW),SG,6-6,190.0,1997-02-25,US US,3,"College of Marin, New Mexico Military Institute, New Mexico State",ORLANDO MAGIC
21.0,Moritz Wagner,C,6-11,245.0,1997-04-26,DE DE,6,Michigan,ORLANDO MAGIC
8.0,Mac McClung (TW),SG,6-2,185.0,1999-01-06,US US,2,"Georgetown, Texas Tech",ORLANDO MAGIC
,Ethan Thompson (TW),SG,6-5,195.0,1999-05-04,US US,R,Oregon State,ORLANDO MAGIC
14,Ricky Council IV,SF,6-6,205.0,2001-08-03,US US,1,"Wichita State, Arkansas",PHILADELPHIA 76ERS
28,Guerschon Yabusele,C,6-8,260.0,1995-12-17,FR FR,2,,PHILADELPHIA 76ERS
9,Kelly Oubre Jr.,SF,6-8,203.0,1995-12-09,US US,9,Kansas,PHILADELPHIA 76ERS
30,Adem Bona,C,6-10,235.0,2003-03-28,NG NG,R,UCLA,PHILADELPHIA 76ERS
0,Tyrese Maxey,PG,6-2,200.0,2000-11-04,US US,4,Kentucky,PHILADELPHIA 76ERS
19,Justin Edwards,SF,6-6,203.0,2003-12-16,US US,R,Kentucky,PHILADELPHIA 76ERS
8,Paul George,PF,6-8,220.0,1990-05-02,US US,14,Fresno State,PHILADELPHIA 76ERS
11,Jeff Dowtin (TW),PG,6-3,185.0,1997-05-10,US US,3,Rhode Island,PHILADELPHIA 76ERS
"1, 5",Andre Drummond,C,6-11,279.0,1993-08-10,US US,12,UConn,PHILADELPHIA 76ERS
23,Eric Gordon,SG,6-3,215.0,1988-12-25,US US,16,Indiana,PHILADELPHIA 76ERS
7,Kyle Lowry,PG,6-0,196.0,1986-03-25,US US,18,Villanova,PHILADELPHIA 76ERS
5,Quentin Grimes,SG,6-5,205.0,2000-05-08,US US,3,"Kansas, Houston",PHILADELPHIA 76ERS
12,Jared Butler,SG,6-3,195.0,2000-08-25,US US,3,Baylor,PHILADELPHIA 76ERS
20,Jared McCain,SG,6-2,195.0,2004-02-20,US US,R,Duke,PHILADELPHIA 76ERS
16,Lonnie Walker IV,SG,6-4,204.0,1998-12-14,US US,6,Miami (FL),PHILADELPHIA 76ERS
21,Joel Embiid,C,7-0,280.0,1994-03-16,CM CM,8,Kansas,PHILADELPHIA 76ERS
65,Alex Reese (TW),PF,6-9,245.0,1999-05-21,US US,R,Alabama,PHILADELPHIA 76ERS
17,Jalen Hood-Schifino (TW),SG,6-6,215.0,2003-06-19,US US,1,Indiana,PHILADELPHIA 76ERS
25,Isaiah Mobley,PF,6-8,240.0,1999-09-24,US US,2,USC,PHILADELPHIA 76ERS
21,Tyus Jones,PG,6-1,196.0,1996-05-10,US US,9,Duke,PHOENIX SUNS
1,Devin Booker,SG,6-6,206.0,1996-10-30,US US,9,Kentucky,PHOENIX SUNS
0,Royce O'Neale,SF,6-4,226.0,1993-06-05,US US,7,"Denver, Baylor",PHOENIX SUNS
0,Ryan Dunn,SF,6-6,216.0,2003-01-07,US US,R,Virginia,PHOENIX SUNS
22,Mason Plumlee,C,6-10,254.0,1990-03-05,US US,11,Duke,PHOENIX SUNS
8,Grayson Allen,SG,6-4,198.0,1995-10-08,US US,6,Duke,PHOENIX SUNS
35,Kevin Durant,PF,6-11,240.0,1988-09-29,US US,16,Texas,PHOENIX SUNS
4,Oso Ighodaro,PF,6-10,235.0,2002-07-14,US US,R,Marquette,PHOENIX SUNS
3,Bradley Beal,SG,6-4,207.0,1993-06-28,US US,12,Florida,PHOENIX SUNS
23,Monte Morris,PG,6-2,183.0,1995-06-27,US US,7,Iowa State,PHOENIX SUNS
2,Nick Richards,C,7-0,245.0,1997-11-29,JM JM,4,Kentucky,PHOENIX SUNS
11,Bol Bol,PF,7-3,220.0,1999-11-16,SD SD,5,Oregon,PHOENIX SUNS
12,Collin Gillespie (TW),PG,6-1,195.0,1999-06-25,US US,1,Villanova,PHOENIX SUNS
10,Damion Lee,SG,6-5,210.0,1992-10-21,US US,6,"Drexel, Louisville",PHOENIX SUNS
14,TyTy Washington Jr. (TW),PG,6-3,197.0,2001-11-15,US US,2,Kentucky,PHOENIX SUNS
17,Cody Martin,SF,6-5,205.0,1995-09-28,US US,5,"NC State, Nevada",PHOENIX SUNS
15,Jalen Bridges (TW),SF,6-8,225.0,2001-05-14,US US,R,"West Virginia, Baylor",PHOENIX SUNS
18,Vasilije Micić,PG,6-5,200.0,1994-01-13,RS RS,1,,PHOENIX SUNS
33,Toumani Camara,PF,6-8,220.0,2000-05-08,BE BE,1,Dayton,PORTLAND TRAIL BLAZERS
17,Shaedon Sharpe,SG,6-6,200.0,2003-05-30,CA CA,2,Kentucky,PORTLAND TRAIL BLAZERS
8,Deni Avdija,SF,6-9,210.0,2001-01-03,IL IL,4,,PORTLAND TRAIL BLAZERS
1,Anfernee Simons,SG,6-3,181.0,1999-06-08,US US,6,,PORTLAND TRAIL BLAZERS
24,Kris Murray,SF,6-8,220.0,2000-08-19,US US,1,Iowa,PORTLAND TRAIL BLAZERS
5,Dalano Banton,PG,6-9,204.0,1999-11-07,CA CA,3,Nebraska,PORTLAND TRAIL BLAZERS
23,Donovan Clingan,C,7-2,280.0,2004-02-23,US US,R,UConn,PORTLAND TRAIL BLAZERS
0,Scoot Henderson,PG,6-3,202.0,2004-02-03,US US,1,,PORTLAND TRAIL BLAZERS
34,Jabari Walker,SF,6-9,215.0,2002-07-30,US US,2,Colorado,PORTLAND TRAIL BLAZERS
21,Rayan Rupert,SG,6-6,205.0,2004-05-31,FR FR,1,,PORTLAND TRAIL BLAZERS
9,Jerami Grant,PF,6-7,210.0,1994-03-12,US US,10,Syracuse,PORTLAND TRAIL BLAZERS
26,Duop Reath,C,6-11,245.0,1996-06-26,SS SS,1,"Lee College, LSU",PORTLAND TRAIL BLAZERS
2,Deandre Ayton,C,7-0,250.0,1998-07-23,BS BS,6,Arizona,PORTLAND TRAIL BLAZERS
35,Robert Williams,C,6-9,237.0,1997-10-17,US US,6,Texas A&M,PORTLAND TRAIL BLAZERS
10,Justin Minaya (TW),SF,6-5,210.0,1999-03-26,US US,2,,PORTLAND TRAIL BLAZERS
4,Matisse Thybulle,SG,6-5,201.0,1997-03-04,US US,5,Washington,PORTLAND TRAIL BLAZERS
11,Bryce McGowens (TW),SG,6-7,179.0,2002-11-08,US US,2,Nebraska,PORTLAND TRAIL BLAZERS
91,Sidy Cissoko (TW),SF,6-8,200.0,2004-04-02,FR FR,1,,PORTLAND TRAIL BLAZERS
23,Keon Ellis,SG,6-6,175.0,2000-01-08,US US,2,"Florida SouthWestern State College, Alabama",SACRAMENTO KINGS
10,DeMar DeRozan,SF,6-6,220.0,1989-08-07,US US,15,USC,SACRAMENTO KINGS
13,Keegan Murray,PF,6-8,215.0,2000-08-19,US US,2,Iowa,SACRAMENTO KINGS
11,Domantas Sabonis,C,6-10,240.0,1996-05-03,US US,8,Gonzaga,SACRAMENTO KINGS
41,Trey Lyles,PF,6-9,234.0,1995-11-05,CA CA,9,Kentucky,SACRAMENTO KINGS
0,Malik Monk,SG,6-3,200.0,1998-02-04,US US,7,Kentucky,SACRAMENTO KINGS
7,Doug McDermott,SF,6-6,225.0,1992-01-03,US US,10,Creighton,SACRAMENTO KINGS
"3, 17",Isaac Jones,PF,6-8,245.0,2000-07-11,US US,R,"Wenatchee Valley College, Idaho, Washington State",SACRAMENTO KINGS
22,Devin Carter,PG,6-2,195.0,2002-03-18,US US,R,"South Carolina, Providence",SACRAMENTO KINGS
8,Zach LaVine,SG,6-5,200.0,1995-03-10,US US,10,UCLA,SACRAMENTO KINGS
17,Jonas Valančiūnas,C,6-11,265.0,1992-05-06,LT LT,12,,SACRAMENTO KINGS
20,Markelle Fultz,PG,6-4,209.0,1998-05-29,US US,7,Washington,SACRAMENTO KINGS
33,Jake LaRavia,PF,6-8,235.0,2001-11-03,US US,2,"Indiana State University, Wake Forest",SACRAMENTO KINGS
24,Isaiah Crawford (TW),SF,6-6,220.0,2001-11-01,US US,R,Louisiana Tech,SACRAMENTO KINGS
15,Mason Jones (TW),SG,6-4,200.0,1998-07-21,US US,3,"Connors State College, Arkansas",SACRAMENTO KINGS
99,Jae Crowder,PF,6-6,235.0,1990-07-06,US US,12,Marquette,SACRAMENTO KINGS
9,Terence Davis,SG,6-4,201.0,1997-05-16,US US,4,Ole Miss,SACRAMENTO KINGS
40,Harrison Barnes,PF,6-8,225.0,1992-05-30,US US,12,UNC,SAN ANTONIO SPURS
30,Julian Champagnie,SF,6-8,220.0,2001-06-29,US US,2,St. John's,SAN ANTONIO SPURS
3,Chris Paul,PG,6-0,175.0,1985-05-06,US US,19,Wake Forest,SAN ANTONIO SPURS
5,Stephon Castle,PG,6-6,215.0,2004-11-01,US US,R,UConn,SAN ANTONIO SPURS
0,Keldon Johnson,SF,6-5,220.0,1999-10-11,US US,5,Kentucky,SAN ANTONIO SPURS
24,Devin Vassell,SG,6-5,200.0,2000-08-23,US US,4,Florida State,SAN ANTONIO SPURS
54,Sandro Mamukelashvili,PF,6-11,240.0,1999-05-23,US US,3,Seton Hall,SAN ANTONIO SPURS
14,Blake Wesley,SG,6-5,185.0,2003-03-16,US US,2,Notre Dame,SAN ANTONIO SPURS
10,Jeremy Sochan,PF,6-8,230.0,2003-05-20,US US,2,Baylor,SAN ANTONIO SPURS
22,Malaki Branham,SG,6-4,180.0,2003-05-12,US US,2,Ohio State,SAN ANTONIO SPURS
1,Victor Wembanyama,C,7-3,235.0,2004-01-04,FR FR,1,,SAN ANTONIO SPURS
28,Charles Bassey,C,6-10,235.0,2000-10-28,NG NG,3,Western Kentucky,SAN ANTONIO SPURS
18,Bismack Biyombo,C,6-8,255.0,1992-08-28,CD CD,13,,SAN ANTONIO SPURS
11,Jordan McLaughlin,PG,6-0,185.0,1996-04-09,US US,5,USC,SAN ANTONIO SPURS
4,De'Aaron Fox,PG,6-3,185.0,1997-12-20,US US,7,Kentucky,SAN ANTONIO SPURS
7,David Duke Jr. (TW),SG,6-5,205.0,1999-10-13,US US,3,Providence,SAN ANTONIO SPURS
55,Harrison Ingram (TW),SF,6-5,230.0,2002-11-27,US US,R,"Stanford, UNC",SAN ANTONIO SPURS
27,Riley Minix (TW),SF,6-7,230.0,2000-09-22,US US,R,"Southeastern University, Morehead State University",SAN ANTONIO SPURS
23.0,Jamal Shead,PG,6-0,200.0,2002-06-24,US US,R,Houston,TORONTO RAPTORS
4.0,Scottie Barnes,PF,6-7,227.0,2001-08-01,US US,3,Florida State,TORONTO RAPTORS
30.0,Ochai Agbaji,SG,6-5,215.0,2000-04-20,US US,2,Kansas,TORONTO RAPTORS
2.0,Jonathan Mogbo,PF,6-9,225.0,2001-10-29,US US,R,"Missouri State, San Francisco",TORONTO RAPTORS
77.0,Jamison Battle,SF,6-7,220.0,2001-05-10,US US,R,"George Washington, Minnesota, Ohio State",TORONTO RAPTORS
9.0,RJ Barrett,SF,6-6,214.0,2000-06-14,CA CA,5,Duke,TORONTO RAPTORS
19.0,Jakob Poeltl,C,7-0,245.0,1995-10-15,AT AT,8,Utah,TORONTO RAPTORS
1.0,Gradey Dick,SG,6-6,205.0,2003-11-20,US US,1,Kansas,TORONTO RAPTORS
14.0,Ja'Kobe Walter,SG,6-5,180.0,2004-09-04,US US,R,Baylor,TORONTO RAPTORS
25.0,Chris Boucher,PF,6-9,200.0,1993-01-11,LC LC,7,"New Mexico Junior College, Northwest College, Oregon",TORONTO RAPTORS
5.0,Immanuel Quickley,PG,6-3,190.0,1999-06-17,US US,4,Kentucky,TORONTO RAPTORS
17.0,Garrett Temple,SG,6-5,195.0,1986-05-08,US US,14,LSU,TORONTO RAPTORS
0.0,A.J. Lawson,SG,6-6,179.0,2000-07-15,CA CA,2,South Carolina,TORONTO RAPTORS
11.0,Colin Castleton,C,6-11,250.0,2000-05-25,US US,1,"Michigan, Florida",TORONTO RAPTORS
8.0,Jared Rhoden (TW),SG,6-6,210.0,1999-08-27,US US,2,Seton Hall,TORONTO RAPTORS
22.0,Ulrich Chomche (TW),PF,6-10,235.0,2005-12-30,CM CM,R,,TORONTO RAPTORS
,Brandon Ingram,SF,6-8,190.0,1997-09-02,US US,8,Duke,TORONTO RAPTORS
22,Kyle Filipowski,C,6-11,250.0,2003-11-07,US US,R,Duke,UTAH JAZZ
28,Brice Sensabaugh,SF,6-6,235.0,2003-10-30,US US,1,Ohio State,UTAH JAZZ
13,Isaiah Collier,PG,6-3,210.0,2004-10-08,US US,R,USC,UTAH JAZZ
3,Keyonte George,PG,6-4,185.0,2003-11-08,US US,1,Baylor,UTAH JAZZ
33,Johnny Juzang,SG,6-7,215.0,2001-03-17,US US,2,"Kentucky, UCLA",UTAH JAZZ
2,Collin Sexton,SG,6-3,190.0,1999-01-04,US US,6,Alabama,UTAH JAZZ
24,Walker Kessler,C,7-0,245.0,2001-07-26,US US,2,"UNC, Auburn",UTAH JAZZ
5,Cody Williams,SG,6-7,190.0,2004-11-20,US US,R,Colorado,UTAH JAZZ
23,Lauri Markkanen,PF,7-0,240.0,1997-05-22,FI FI,7,Arizona,UTAH JAZZ
20,John Collins,PF,6-9,235.0,1997-09-23,US US,7,Wake Forest,UTAH JAZZ
19,Svi Mykhailiuk,SF,6-7,205.0,1997-06-10,UA UA,6,Kansas,UTAH JAZZ
25,Micah Potter (TW),C,6-10,248.0,1998-04-06,US US,3,"Ohio State, Wisconsin",UTAH JAZZ
0,Jordan Clarkson,SG,6-3,194.0,1992-06-07,US US,10,"Tulsa, Missouri",UTAH JAZZ
99,KJ Martin,SF,6-6,215.0,2001-01-06,US US,4,,UTAH JAZZ
11,Jaden Springer,PG,6-4,204.0,2002-09-25,US US,3,Tennessee,UTAH JAZZ
34,Oscar Tshiebwe (TW),C,6-9,260.0,1999-11-27,CD CD,1,"West Virginia, Kentucky",UTAH JAZZ
16,Elijah Harkless (TW),SG,6-3,195.0,2000-02-03,US US,R,"Cal State Northridge, Oklahoma, UNLV",UTAH JAZZ
0,Taylor Hendricks,PF,6-9,210.0,2003-11-22,US US,1,Central Florida,UTAH JAZZ
8.0,Bub Carrington,PG,6-4,190.0,2005-07-21,US US,R,Pitt,WASHINGTON WIZARDS
13.0,Jordan Poole,SG,6-4,194.0,1999-06-19,US US,5,Michigan,WASHINGTON WIZARDS
18.0,Kyshawn George,SG,6-7,200.0,2003-12-12,CH CH,R,Miami (FL),WASHINGTON WIZARDS
20.0,Alex Sarr,C,7-0,205.0,2005-04-26,FR FR,R,,WASHINGTON WIZARDS
9.0,Justin Champagnie,SF,6-6,200.0,2001-06-29,US US,3,Pitt,WASHINGTON WIZARDS
24.0,Corey Kispert,SF,6-7,220.0,1999-03-03,US US,3,Gonzaga,WASHINGTON WIZARDS
0.0,Bilal Coulibaly,SF,6-6,195.0,2004-07-26,FR FR,1,,WASHINGTON WIZARDS
16.0,Anthony Gill,PF,6-7,230.0,1992-10-17,US US,4,"South Carolina, Virginia",WASHINGTON WIZARDS
0.0,Tristan Vukcevic (TW),C,6-10,223.0,2003-03-11,IT IT,1,,WASHINGTON WIZARDS
22.0,Richaun Holmes,PF,6-10,235.0,1993-10-15,US US,9,Bowling Green,WASHINGTON WIZARDS
15.0,Malcolm Brogdon,PG,6-4,229.0,1992-12-11,US US,8,Virginia,WASHINGTON WIZARDS
5.0,AJ Johnson,SG,6-4,160.0,2004-12-01,US US,R,,WASHINGTON WIZARDS
36.0,Marcus Smart,PG,6-3,220.0,1994-03-06,US US,10,Oklahoma State,WASHINGTON WIZARDS
1.0,Colby Jones,SG,6-6,205.0,2002-05-28,US US,1,Xavier,WASHINGTON WIZARDS
32.0,Khris Middleton,SF,6-7,222.0,1991-08-12,US US,12,Texas A&M,WASHINGTON WIZARDS
4.0,Jaylen Martin (TW),SF,6-6,216.0,2004-01-28,US US,R,,WASHINGTON WIZARDS
21.0,JT Thor (TW),PF,6-10,205.0,2002-08-26,US US,3,Auburn,WASHINGTON WIZARDS
,Saddiq Bey,SF,6-7,215.0,1999-04-09,US US,4,Villanova,WASHINGTON WIZARDS
8.0,Bub Carrington,PG,6-4,190.0,2005-07-21,US US,R,Pitt,WASHINGTON BULLETS
13.0,Jordan Poole,SG,6-4,194.0,1999-06-19,US US,5,Michigan,WASHINGTON BULLETS
18.0,Kyshawn George,SG,6-7,200.0,2003-12-12,CH CH,R,Miami (FL),WASHINGTON BULLETS
20.0,Alex Sarr,C,7-0,205.0,2005-04-26,FR FR,R,,WASHINGTON BULLETS
9.0,Justin Champagnie,SF,6-6,200.0,2001-06-29,US US,3,Pitt,WASHINGTON BULLETS
24.0,Corey Kispert,SF,6-7,220.0,1999-03-03,US US,3,Gonzaga,WASHINGTON BULLETS
